URL,Content
https://www.facebook.com/share/p/14DqtuJaps/,tuỵtttt quáa ạa
https://www.facebook.com/share/p/14DqtuJaps/,Vâng 
https://www.facebook.com/share/p/14DqtuJaps/,Tuyệt vời 
https://www.facebook.com/share/p/14DqtuJaps/,Tuỵt vời sếp ơi
https://www.facebook.com/share/p/14DqtuJaps/,Hay quá sếp ơi
https://www.facebook.com/share/p/14DqtuJaps/,mv đẹp quá anh Tùng ơi
https://www.facebook.com/share/p/14DqtuJaps/,okee anh iu
https://www.facebook.com/share/p/14DqtuJaps/,nghe bánh cuốn quá anh ưi
https://www.facebook.com/share/p/14DqtuJaps/,Oke anh iuuuuu
https://www.facebook.com/share/p/14DqtuJaps/,Đẹp giai quá anh oiiiiii
https://www.facebook.com/share/p/14DqtuJaps/,quá tuỵtttt
https://www.facebook.com/share/p/14DqtuJaps/,Quá trời bank nhưng anh ta chọn MB
https://www.facebook.com/share/p/14DqtuJaps/,Okie sếp
https://www.facebook.com/share/p/14DqtuJaps/,Iu anhh
https://www.facebook.com/share/p/14DqtuJaps/,Đẹp moê nha 
https://www.facebook.com/share/p/14DqtuJaps/,Mãi iu
https://www.facebook.com/share/p/14DqtuJaps/,Yêu nhồng 
https://www.facebook.com/share/p/14DqtuJaps/,Tuyệt cà là vời luôn nhóe
https://www.facebook.com/share/p/14DqtuJaps/,Tuyệt quá a iu 
https://www.facebook.com/share/p/14DqtuJaps/,Xuất sắc anh tuiiii 
https://www.facebook.com/share/p/14DqtuJaps/,yêu nhắm cục zàng ơi
https://www.facebook.com/share/p/14DqtuJaps/,Tuyệt vời anhh iuuuu
https://www.facebook.com/share/p/14DqtuJaps/,Yêu lắm cơ
https://www.facebook.com/share/p/14DqtuJaps/,Oki sếp
https://www.facebook.com/share/p/14DqtuJaps/,Chúc mừng Sơn Tùng và MBbank nhé 
https://www.facebook.com/share/p/14DqtuJaps/,"Em chốt đơn rồi, ship hàng nhớ kèm anh vô nha =))))"
https://www.facebook.com/share/p/14DqtuJaps/,Mãi đỉnh anh ơi
https://www.facebook.com/share/p/14DqtuJaps/,Lê Ngọc cứu t
https://www.facebook.com/share/p/14DqtuJaps/,đẹp xỉu
https://www.facebook.com/share/p/14DqtuJaps/,Tuỵt anhh ơi
https://www.facebook.com/share/p/14DqtuJaps/,Mê cái cách anh ấy trân trọng Sky 
https://www.facebook.com/share/p/14DqtuJaps/,Tuyệt quá anhiu =))))
https://www.facebook.com/share/p/14DqtuJaps/,Nhưng nghèo thì mua sao đượt ậ
https://www.facebook.com/share/p/14DqtuJaps/,2 đẹp quá 2 ơi 
https://www.facebook.com/share/p/14DqtuJaps/,Xin 2 chẹooooo
https://www.facebook.com/share/p/14DqtuJaps/,Tuỵt zời
https://www.facebook.com/share/p/14DqtuJaps/,MB mãi đỉnhhh
https://www.facebook.com/share/p/14DqtuJaps/,nhạc sếp mãii keoo
https://www.facebook.com/share/p/14DqtuJaps/,DTH XỈU
https://www.facebook.com/share/p/14DqtuJaps/,Xin một thẻ ạ
https://www.facebook.com/share/p/14DqtuJaps/,Oke ạ.Mãi dỗi anh 
https://www.facebook.com/share/p/14DqtuJaps/,í là hết money á 
https://www.facebook.com/share/p/14DqtuJaps/,Oki a iu hihi 
https://www.facebook.com/share/p/14DqtuJaps/,Sếp của 2010
https://www.facebook.com/share/p/14DqtuJaps/,Cuốn quá anh ơi 
https://www.facebook.com/share/p/14DqtuJaps/,Ok anh nhe
https://www.facebook.com/share/p/14DqtuJaps/,Đẹp đinnn á chời
https://www.facebook.com/share/p/14DqtuJaps/,Đẹp xỉu 2 ơi
https://www.facebook.com/share/p/14DqtuJaps/,Sếp em ra nhạc hay quá 
https://www.facebook.com/share/p/14DqtuJaps/,Toàn hàng xin sếp ơi. Nhưng số đt ho hỏi phải từ VN mới đăng ký được 
https://www.facebook.com/share/p/14DqtuJaps/,Tuyệt vờii 
https://www.facebook.com/share/p/14DqtuJaps/,ê hayy nha má :)))
https://www.facebook.com/share/p/14DqtuJaps/,Oke em iu 
https://www.facebook.com/share/p/14DqtuJaps/,Đẹp troaiiii
https://www.facebook.com/share/p/14DqtuJaps/,Iu iu iuuuuuuuuuuuu 
https://www.facebook.com/share/p/14DqtuJaps/,Cứ ngỡ là MV ca nhạc
https://www.facebook.com/share/p/14DqtuJaps/,Mình xem thầy 400 máy là mình được nguyên combo luôn hả mn
https://www.facebook.com/share/p/14DqtuJaps/,Chưa mua đc chồng ơi 
https://www.facebook.com/share/p/14DqtuJaps/,ok anh
https://www.facebook.com/share/p/14DqtuJaps/,Đẹp traiii xỉu ạ
https://www.facebook.com/share/p/14DqtuJaps/,Tuyệt vời quá anh ơi 
https://www.facebook.com/share/p/14DqtuJaps/,ok sốp iu
https://www.facebook.com/share/p/14DqtuJaps/,Nghe rùi hay xĩu 
https://www.facebook.com/share/p/14DqtuJaps/,Thế có skytour thì mua anh ạ :))
https://www.facebook.com/share/p/14DqtuJaps/,Anh ta yêu chiều fan nhất rồi.
https://www.facebook.com/share/p/14DqtuJaps/,có giới hạn hong dị chồng 
https://www.facebook.com/share/p/14DqtuJaps/,Đẹp luôn
https://www.facebook.com/share/p/14DqtuJaps/,Anh/Chị có nhu cầu mua thẻ Be The Sky liên hệ Em Nhung 0982.636.801 hoặc ib em ạ.
https://www.facebook.com/share/p/14DqtuJaps/,đẹp xuất sắc
https://www.facebook.com/share/p/14DqtuJaps/,sịn quá sếp ơi
https://www.facebook.com/share/p/14DqtuJaps/,Nhà đã có 3 cái MB rồi 
https://www.facebook.com/share/p/14DqtuJaps/,mua roi chong yeu cua em oi
https://www.facebook.com/share/p/14DqtuJaps/,Mv quảng cáo mà chất thế ai chơi lại azai
https://www.facebook.com/share/p/14DqtuJaps/,OK a nhá
https://www.facebook.com/share/p/14DqtuJaps/,Hayyyyy quá
https://www.facebook.com/share/p/14DqtuJaps/,Tuyệt cú mèo 
https://www.facebook.com/share/p/14DqtuJaps/,"Đã à nha, đặt ngay và luôn "
https://www.facebook.com/share/p/14DqtuJaps/,anh ấy comeback rồi
https://www.facebook.com/share/p/14DqtuJaps/,Idol gửi món quà làm chị bất ngờ 
https://www.facebook.com/share/p/14DqtuJaps/,Mii Doll đẹp nè e
https://www.facebook.com/share/p/14DqtuJaps/,đẹp xỉuuuu huhu
https://www.facebook.com/share/p/14DqtuJaps/,Ảnh đẹp tr ơi
https://www.facebook.com/share/p/14DqtuJaps/,Huhu hay quãi
https://www.facebook.com/share/p/14DqtuJaps/,Tuyệt anh ạ
https://www.facebook.com/share/p/14DqtuJaps/,Hay quá sếp oi
https://www.facebook.com/share/p/14DqtuJaps/,Tuyệt vời
https://www.facebook.com/share/p/14DqtuJaps/,quá đã 
https://www.facebook.com/share/p/14DqtuJaps/,Order ròi nhá anh ưii 
https://www.facebook.com/share/p/14DqtuJaps/,Mê êê 
https://www.facebook.com/share/p/14DqtuJaps/,ỏ nghèo 
https://www.facebook.com/share/p/14DqtuJaps/,Quá là tuyệt cà là vời 
https://www.facebook.com/share/p/14DqtuJaps/,Hay quá
https://www.facebook.com/share/p/14DqtuJaps/,Hay quá chồng iu ơiiii
https://www.facebook.com/share/p/14DqtuJaps/,so cute
https://www.facebook.com/share/p/14DqtuJaps/,Sang Huỳnh Zô coi nghe nhạc mày. Xong làm cái thẻ Be The Sky luôn. Mày chưa có thẻ mừ  Út Lê
https://www.facebook.com/share/p/14DqtuJaps/,Mê wuá 
https://www.facebook.com/share/p/14DqtuJaps/,ảnh đẹp
https://www.facebook.com/share/p/14DqtuJaps/,Mê quá ạ
https://www.facebook.com/share/p/14DqtuJaps/,quá đãaa
https://www.facebook.com/share/p/14DqtuJaps/,Hong ấy mình cho quả vid dài hơn đc honggggg
https://www.facebook.com/share/p/14DqtuJaps/,chòi oi giờ mới hiện lên newfeed của tuii
https://www.facebook.com/share/p/14DqtuJaps/,tuyệt vờiiiiiiiiiiiiii
https://www.facebook.com/share/p/14DqtuJaps/,Sky thẻ víp lên đồ
https://www.facebook.com/share/p/14DqtuJaps/,anh yêu đợi tết em kiếm tiền lì xì đã nhe 
https://www.facebook.com/share/p/14DqtuJaps/,Đỉnh quá zợ chồng iuu
https://www.facebook.com/share/p/14DqtuJaps/,Ok tồng iuuu
https://www.facebook.com/share/p/14DqtuJaps/,Sếp mãi đĩnh 
https://www.facebook.com/share/p/14DqtuJaps/,Sorry sếp em còn là studen ko có money mua được đợi sau này có em sẽ mua liền nhớ chờ em nhó
https://www.facebook.com/share/p/14DqtuJaps/,Đẹp trai quá
https://www.facebook.com/share/p/14DqtuJaps/,xịn quá a Tùng 
https://www.facebook.com/share/p/14DqtuJaps/,Hóng Quáa
https://www.facebook.com/share/p/14DqtuJaps/,ơ mua thẻ nào thì mới được tằng lightstick vậy ạ
https://www.facebook.com/share/p/14DqtuJaps/,Album mô:v
https://www.facebook.com/share/p/14DqtuJaps/,Chỉ hóng Mv MKMW 
https://www.facebook.com/share/p/14DqtuJaps/,Tóc này đẹp quá anh ơiii 
https://www.facebook.com/share/p/14DqtuJaps/,Tuyệt chốt liền 
https://www.facebook.com/share/p/14DqtuJaps/,mãi iuuuuuuu
https://www.facebook.com/share/p/14DqtuJaps/,Mất phí thường niên Ko zạ chồng
https://www.facebook.com/share/p/14DqtuJaps/,Ok chốt đê
https://www.facebook.com/share/p/14DqtuJaps/,đáng iêu quáaaaaaaaa 
https://www.facebook.com/share/p/14DqtuJaps/,Muốn nói hết những điều ngọt ngào nơi con tim này nhường nàoTa gửi vào gió mang theo nhớ thương dạt dàoBối rối ấp úng đừng nghẹn lời trước ánh sáng đầy gọi mời… Xem thêm
https://www.facebook.com/share/p/14DqtuJaps/,Dạaaa 
https://www.facebook.com/share/p/14DqtuJaps/,Đẳng cấp.
https://www.facebook.com/share/p/14DqtuJaps/,Quá đã lun
https://www.facebook.com/share/p/14DqtuJaps/,Tới công chuyện liền
https://www.facebook.com/share/p/14DqtuJaps/,Cái đó là j vậy
https://www.facebook.com/share/p/14DqtuJaps/,Đẹp xĩu luôn
https://www.facebook.com/share/p/14DqtuJaps/,Quá đẹp trai 
https://www.facebook.com/share/p/14DqtuJaps/,Dạ đã đặt Skylight rồi ạ
https://www.facebook.com/share/p/14DqtuJaps/,Tuyệt
https://www.facebook.com/share/p/14DqtuJaps/,Quảng cáo hoy mà nghe cuốn qué
https://www.facebook.com/share/p/14DqtuJaps/,hay lắm ck
https://www.facebook.com/share/p/14DqtuJaps/,mong chờ quá
https://www.facebook.com/share/p/14DqtuJaps/,Đỉnh qué
https://www.facebook.com/share/p/14DqtuJaps/,Love u 
https://www.facebook.com/share/p/14DqtuJaps/,Nhưng anh cho tiền em mua được hông
https://www.facebook.com/share/p/14DqtuJaps/,Chốt đơn chốt đơn
https://www.facebook.com/share/p/14DqtuJaps/,Ok sếp oii
https://www.facebook.com/share/p/14DqtuJaps/,Be the SKY 
https://www.facebook.com/share/p/14DqtuJaps/,Rất là Genz 
https://www.facebook.com/share/p/14DqtuJaps/,Mê quá giờ làm sao giờ 
https://www.facebook.com/share/p/14DqtuJaps/,Đỉnh lắm sếp ơiiiiii
https://www.facebook.com/share/p/14DqtuJaps/,Ok chồngiu
https://www.facebook.com/share/p/14DqtuJaps/,Ngàn tymm cho sếp
https://www.facebook.com/share/p/14DqtuJaps/,Vâg xếp 
https://www.facebook.com/share/p/14DqtuJaps/,quảng cáo thôi mà cũng hay quá anh ơi
https://www.facebook.com/share/p/14DqtuJaps/,Có hơn 1p mà cũng đưa lên yt nữa.. cho lên fb này có phải tiếp cận đc nhiều người ko...
https://www.facebook.com/share/p/14DqtuJaps/,Ko biết có atm thì có app lun ko ạ
https://www.facebook.com/share/p/14DqtuJaps/,Xịn luôn 
https://www.facebook.com/share/p/14DqtuJaps/,đỉnhhhh quaaaaa ck oiii 
https://www.facebook.com/share/p/14DqtuJaps/,thich quaaa
https://www.facebook.com/share/p/14DqtuJaps/,Sơn Tùng MTP mãi đỉnh 
https://www.facebook.com/share/p/14DqtuJaps/,e khong có xiền...mở thể rùi lm gì:<<?
https://www.facebook.com/share/p/14DqtuJaps/,Tuyệt với sếp ơi 
https://www.facebook.com/share/p/14DqtuJaps/,Mê á chòiii
https://www.facebook.com/share/p/14DqtuJaps/,ton tien cho tu ban
https://www.facebook.com/share/p/14DqtuJaps/,nhạc quá đỉnh
https://www.facebook.com/share/p/14DqtuJaps/,Quá ghê gớm
